MARKET NAME-INSTITUTION DESCRIPTION,MIC,OPERATING MIC,OPRT/SGMT,LEGAL ENTITY NAME,LEI,MARKET CATEGORY CODE,ACRONYM,ISO COUNTRY CODE (ISO 3166),CITY,COMMENTS
BOLSA MEXICANA DE VALORES (MEXICAN STOCK EXCHANGE),XMEX,XMEX,OPRT,,894500CS2D6RLGW61A19,NSPD,,MX,MEXICO,
MIAX FUTURES EXCHANGE,XMGE,XMGE,OPRT,"MIAX FUTURES EXCHANGE, LLC",549300RGCVWZUN04IA69,DCMS,,US,MINNEAPOLIS,MIAX FUTURES EXCHANGE OFFERS ACCESS TO FUTURES PRODUCTS AS A DESIGNATED CONTRACT MARKET (DCM) AND DERIVATIVES CLEARING ORGANIZATION (DCO).
MOSCOW INTERBANK CURRENCY EXCHANGE,XMIC,XMIC,OPRT,,,NSPD,,RU,MOSCOW,MIC TO USE AS FROM 19 DEC 2011 IS MISX. MERGER BETWEEN RTS AND MICEX GROUPS.
MIDWEST STOCK EXCHANGE,XMID,XMID,OPRT,,,NSPD,,US,CHICAGO,
MERCATO ITALIANO DEI FUTURES,XMIF,XMIF,OPRT,,,NSPD,,IT,MILAN,
BORSA ITALIANA S.P.A.,XMIL,XMIL,OPRT,BORSA ITALIANA S.P.A.,8156005391EE905D3124,NSPD,,IT,MILAN,
ATFUND MTF,ATFX,XMIL,SGMT,BORSA ITALIANA S.P.A.,8156005391EE905D3124,MLTF,ATFUND,IT,MILAN,MULTILATERAL TRADING FACILITY FOR OPEN END FUNDS.
BORSA ITALIANA GLOBAL EQUITY MARKET,BGEM,XMIL,SGMT,BORSA ITALIANA S.P.A.,8156005391EE905D3124,MLTF,BITGEM,IT,MILAN,MULTILATERAL TRADING FACILITY FOR INTERNATIONAL EQUITIES.
BORSA ITALIANA - DARK BOOK FACILITY,DMIL,XMIL,SGMT,BORSA ITALIANA S.P.A.,8156005391EE905D3124,OTHR,,IT,MILAN,MIC TO IDENTIFY DARK MID-POINT PEGGED TRANSACTIONS. NOT TO BE USED FOR TRANSACTION REPORTING PURPOSES.
"ELECTRONIC ETF, ETC/ETN AND OPEN-END FUNDS MARKET",ETFP,XMIL,SGMT,BORSA ITALIANA S.P.A.,8156005391EE905D3124,RMKT,ETFPLUS,IT,MILAN,
EUROTLX,ETLX,XMIL,SGMT,BORSA ITALIANA S.P.A.,8156005391EE905D3124,MLTF,,IT,MILAN,
EURONEXT GROWTH MILAN,EXGM,XMIL,SGMT,BORSA ITALIANA S.P.A.,8156005391EE905D3124,MLTF,EGM,IT,MILAN,"MULTILATERAL TRADING FACILITY DEDICATED TO DYNAMIC AND COMPETITIVE SMES, WHICH ARE LOOKING FOR CAPITAL TO FINANCE THEIR GROWTH."
MERCATO ALTERNATIVO DEL CAPITALE,MACX,XMIL,SGMT,BORSA ITALIANA S.P.A.,8156005391EE905D3124,NSPD,MAC,IT,MILAN,"MERGE OF AIM ITALIA AND MAC, MAC WILL BE OPENED TILL END 2012. AFTER, XAIM WILL BE THE MIC TO USE."
EURONEXT MIV MILAN,MIVX,XMIL,SGMT,BORSA ITALIANA S.P.A.,8156005391EE905D3124,RMKT,MIV,IT,MILAN,"THE MIV, DEDICATED TO INVESTMENT VEHICLES, IS DIVIDED INTO THREE SEGMENTS: UNITS OF CLOSED-END FUNDS SEGMENT, INVESTMENT COMPANIES SEGMENT, REAL ESTATE INVESTMENT COMPANIES SEGMENT (REICS FROM THE EXPANDI MARKET). RENAMED INTO EURONEXT MIV MILAN"
ELECTRONIC BOND MARKET,MOTX,XMIL,SGMT,BORSA ITALIANA S.P.A.,8156005391EE905D3124,RMKT,MOT,IT,MILAN,
EURONEXT MILAN,MTAA,XMIL,SGMT,BORSA ITALIANA S.P.A.,8156005391EE905D3124,RMKT,MTA,IT,MILAN,"RENAMED FROM ""ELECTRONIC SHARE MARKET"" TO ""EURONEXT MILAN"""
BORSA ITALIANA - TRADING AFTER HOURS,MTAH,XMIL,SGMT,BORSA ITALIANA S.P.A.,8156005391EE905D3124,MLTF,TAH,IT,MILAN,"MULTILATERAL TRADING FACILITY FOR TRADING DURING EXTENDED HOURS (FOR ITALIAN AND INTL. SHARES, FROM 6PM TO 8:30PM MILAN TIME)."
SECURITISED DERIVATIVES MARKET,SEDX,XMIL,SGMT,BORSA ITALIANA S.P.A.,8156005391EE905D3124,MLTF,SEDEX,IT,MILAN,MULTILATERAL TRADING FACILITY.
AIM ITALIA - MERCATO ALTERNATIVO DEL CAPITALE,XAIM,XMIL,SGMT,BORSA ITALIANA S.P.A.,8156005391EE905D3124,NSPD,,IT,MILAN,"MULTILATERAL TRADING FACILITY - MERGE OF AIM ITALIA AND MAC, MAC WILL BE OPENED TILL END 2012."
ITALIAN DERIVATIVES MARKET,XDMI,XMIL,SGMT,BORSA ITALIANA S.P.A.,8156005391EE905D3124,RMKT,IDEM,IT,MILAN,
EURONEXT - ACCESS MILAN,XMOT,XMIL,SGMT,BORSA ITALIANA S.P.A.,8156005391EE905D3124,MLTF,,IT,MILAN,MTF OF BONDS MANAGED AND ORGANISED BY BORSA ITALIANA.
